Informantes,Respuestas,Agentes_Confiables,Tiempo_s
5,20,0,5e-06
6,20,0,5.6e-06
7,20,0,2.68e-05
8,20,1,8.5e-06
9,20,4,7.66e-05
10,20,4,0.000109
11,20,3,0.0001016
12,20,5,0.0007402
13,20,8,0.0006786
14,20,10,0.0009693
15,20,8,0.0012685
16,20,10,0.0022134
17,20,10,0.0016516
18,20,9,0.0048259
19,20,12,0.0353964
5,20,0,7.7e-06
6,20,0,1.85e-05
7,20,0,1.83e-05
8,20,0,1.17e-05
9,20,3,4.16e-05
10,20,5,0.0001102
11,20,6,0.0003326
12,20,7,0.0002322
13,20,7,0.0007511
14,20,7,0.0007997
15,20,7,0.0005006
16,20,9,0.0095326
17,20,10,0.0022921
18,20,13,0.0140922
19,20,13,0.0174383
5,20,1,6.1e-06
6,20,2,1.22e-05
7,20,3,1.15e-05
8,20,1,3.42e-05
9,20,4,7.56e-05
10,20,6,0.0001519
11,20,5,0.0002925
12,20,7,0.0003579
13,20,7,0.0006828
14,20,6,0.0007244
15,20,8,0.0017762
16,20,8,0.0016772
17,20,9,0.0027706
18,20,14,0.00408
19,20,14,0.0149478
5,20,1,5.6e-06
6,20,2,1.08e-05
7,20,2,2.12e-05
8,20,2,2.13e-05
9,20,4,4.7e-05
10,20,5,0.0001418
11,20,3,0.0002954
12,20,5,0.0003362
13,20,8,0.0003895
14,20,7,0.0002835
15,20,7,0.0021169
16,20,9,0.0021445
17,20,10,0.0097859
18,20,11,0.0044656
19,20,13,0.0151234
5,20,0,6.1e-06
6,20,2,1.67e-05
7,20,0,1.83e-05
8,20,2,4.44e-05
9,20,3,8.84e-05
10,20,7,0.0001946
11,20,6,0.0001093
12,20,9,0.0001767
13,20,6,0.0002128
14,20,7,0.0001708
15,20,8,0.0013403
16,20,9,0.0110616
17,20,10,0.0032101
18,20,11,0.024748
19,20,10,0.0052515
5,20,2,8.8e-06
6,20,1,6.4e-06
7,20,1,2.37e-05
8,20,1,1.71e-05
9,20,2,3.25e-05
10,20,2,8.26e-05
11,20,5,0.0001048
12,20,6,0.0005735
13,20,7,0.0003264
14,20,10,0.0012306
15,20,9,0.0017054
16,20,7,0.0009983
17,20,9,0.0054264
18,20,12,0.0554738
19,20,12,0.0375639
5,20,0,2.7e-06
6,20,2,1.33e-05
7,20,2,1.7e-05
8,20,2,3.03e-05
9,20,6,4.26e-05
10,20,4,9.9e-05
11,20,5,0.000125
12,20,5,0.000284
13,20,8,0.0004371
14,20,10,0.0010091
15,20,7,0.0014965
16,20,9,0.002262
17,20,13,0.0073853
18,20,11,0.0048463
19,20,12,0.037973
5,20,1,5.5e-06
6,20,2,1.08e-05
7,20,1,1.74e-05
8,20,2,2.62e-05
9,20,2,2.96e-05
10,20,3,6.85e-05
11,20,4,0.0001814
12,20,5,0.0002851
13,20,7,0.0019056
14,20,6,0.0015934
15,20,7,0.0010439
16,20,8,0.0060006
17,20,10,0.0076195
18,20,9,0.0026473
19,20,13,0.0191878
5,20,1,5.7e-06
6,20,0,1.59e-05
7,20,4,2.72e-05
8,20,1,1.98e-05
9,20,4,9.56e-05
10,20,2,0.0001338
11,20,5,0.000275
12,20,4,0.0001862
13,20,7,0.0005315
14,20,5,0.0003119
15,20,8,0.0022458
16,20,9,0.0029382
17,20,8,0.0012265
18,20,11,0.0024117
19,20,12,0.0273223
5,20,0,1.26e-05
6,20,2,5.3e-06
7,20,0,4.6e-06
8,20,3,2.13e-05
9,20,3,5.59e-05
10,20,4,8.92e-05
11,20,5,0.0001855
12,20,4,0.0002948
13,20,8,0.000647
14,20,8,0.0013202
15,20,10,0.0016149
16,20,9,0.0024668
17,20,12,0.0062516
18,20,13,0.0026524
19,20,11,0.0163712
