Informantes,Respuestas,Agentes_Confiables,Tiempo_s
20,5,18,0.0067041
20,6,18,0.0058265
20,7,19,1.78e-05
20,8,18,0.0009218
20,9,17,0.0082701
20,10,16,0.0081573
20,11,15,0.0149851
20,12,15,0.0340573
20,13,16,0.0217998
20,14,14,0.0241473
20,15,15,0.0317975
20,16,15,0.0193456
20,17,12,0.0051422
20,18,14,0.0453333
20,19,14,0.0195293
20,20,15,0.0413806
20,21,12,0.015833
20,22,14,0.0264867
20,23,10,0.018556
20,24,14,0.008441
20,25,13,0.0054677
20,26,9,0.0015183
20,27,9,0.0105609
20,28,10,0.0073659
20,29,12,0.0077658
20,30,11,0.0115403
20,31,14,0.019472
20,32,12,0.0040711
20,33,11,0.0087127
20,34,10,0.0062394
20,35,13,0.0091063
20,36,8,0.0083256
20,37,10,0.0199885
20,38,8,0.0057744
20,39,8,0.0056637
20,40,7,0.003911
20,41,6,0.0035149
20,42,7,0.0025749
20,43,9,0.0028654
20,44,6,0.0028341
20,45,5,0.0003758
20,46,9,0.0049253
20,47,9,0.0020559
20,48,8,0.0064929
20,49,5,0.0007001
20,50,8,0.0018617
20,51,8,0.001106
20,52,8,0.003222
20,53,4,0.0013588
20,54,8,0.0012039
20,55,6,0.0014279
20,56,6,0.0004825
20,57,8,0.0029923
20,58,5,0.0012283
20,59,4,0.0006597
20,60,5,0.0013141
20,61,5,0.0007858
20,62,3,0.0056137
20,63,3,0.0003649
20,64,5,0.0006481
20,65,4,0.0039343
20,66,1,0.0007156
20,67,1,0.0007842
20,68,6,0.0013465
20,69,3,0.0006781
20,70,0,0.000694
20,71,5,0.0014585
20,72,2,0.0004626
20,73,6,0.0008895
20,74,1,0.0005813
20,75,1,0.0003782
20,76,5,0.0005522
20,77,5,0.0008648
20,78,1,0.0017308
20,79,0,0.0011552
20,80,2,0.000837
20,81,3,0.0002375
20,82,1,0.0002635
20,83,1,0.0009561
20,84,2,0.0004023
20,85,3,0.0004397
20,86,2,0.0002737
20,87,3,0.0005703
20,88,1,0.0005441
20,89,1,0.0009024
20,90,0,0.0013576
20,91,4,0.0004096
20,92,1,0.0003764
20,93,2,0.0004055
20,94,3,0.0002875
20,95,3,0.0003093
20,96,1,0.0004427
20,97,0,0.000163
20,98,0,0.0004024
20,99,3,0.0004275
20,5,18,9.16e-05
20,6,19,2.17e-05
20,7,16,0.0075729
20,8,16,0.0434198
20,9,16,0.0321682
20,10,15,0.0260139
20,11,18,0.0117705
20,12,14,0.0413303
20,13,16,0.0136712
20,14,14,0.0103574
20,15,15,0.0342279
20,16,14,0.0023958
20,17,13,0.0605775
20,18,12,0.0078123
20,19,13,0.0176195
20,20,12,0.0565451
20,21,13,0.0327799
20,22,13,0.0088046
20,23,15,0.0351035
20,24,12,0.0229468
20,25,11,0.0245966
20,26,13,0.0072601
20,27,12,0.0324171
20,28,9,0.0045445
20,29,12,0.0107918
20,30,11,0.0123078
20,31,12,0.0142016
20,32,12,0.0265622
20,33,10,0.0086179
20,34,10,0.0038694
20,35,9,0.0086866
20,36,8,0.0021355
20,37,5,0.0035047
20,38,9,0.0024209
20,39,8,0.0036898
20,40,7,0.0013065
20,41,10,0.0022777
20,42,7,0.0089628
20,43,10,0.0020985
20,44,8,0.0025687
20,45,7,0.0015715
20,46,7,0.0024391
20,47,8,0.0021281
20,48,7,0.0020239
20,49,8,0.0017282
20,50,8,0.0013556
20,51,9,0.0026596
20,52,7,0.0014249
20,53,2,0.0004433
20,54,6,0.003021
20,55,6,0.0013716
20,56,8,0.0012415
20,57,4,0.0007179
20,58,7,0.0017066
20,59,7,0.0019461
20,60,4,0.0012591
20,61,6,0.0013162
20,62,3,0.0012832
20,63,8,0.0010595
20,64,4,0.000248
20,65,3,0.0008388
20,66,6,0.0009596
20,67,6,0.0006015
20,68,2,0.0007044
20,69,6,0.0012847
20,70,5,0.0011053
20,71,4,0.0006902
20,72,2,0.0005548
20,73,4,0.0004101
20,74,1,0.0002035
20,75,4,0.000968
20,76,4,0.0008077
20,77,4,0.0006715
20,78,2,0.0005535
20,79,1,0.0003502
20,80,4,0.0010428
20,81,2,0.0004944
20,82,0,0.0009501
20,83,3,0.0013701
20,84,3,0.0005875
20,85,1,0.0003738
20,86,1,0.0002997
20,87,3,0.0008968
20,88,1,0.0004524
20,89,3,0.0012549
20,90,0,0.0003673
20,91,2,0.0006283
20,92,3,0.0002992
20,93,1,0.0002656
20,94,0,0.0001932
20,95,3,0.000622
20,96,2,0.0005529
20,97,1,0.0004
20,98,3,0.0001572
20,99,1,0.0002444
20,5,18,0.0014252
20,6,17,0.000941
20,7,16,0.0282676
20,8,16,0.0062114
20,9,16,0.0183196
20,10,18,0.0006445
20,11,16,0.0120809
20,12,15,0.0158766
20,13,16,0.0063308
20,14,14,0.0170939
20,15,14,0.0263271
20,16,13,0.0365776
20,17,12,0.0100217
20,18,14,0.0447041
20,19,14,0.0164645
20,20,15,0.0248767
20,21,12,0.0248881
20,22,14,0.0237743
20,23,12,0.0226899
20,24,12,0.0063389
20,25,15,0.022506
20,26,12,0.0016684
20,27,11,0.0078379
20,28,12,0.0083472
20,29,10,0.027311
20,30,12,0.032244
20,31,13,0.0054331
20,32,10,0.0041133
20,33,10,0.0102491
20,34,9,0.0018886
20,35,7,0.0016821
20,36,9,0.0035919
20,37,11,0.0028452
20,38,11,0.0053978
20,39,11,0.0060018
20,40,7,0.0020564
20,41,9,0.0175866
20,42,11,0.00625
20,43,8,0.0058444
20,44,5,0.0018128
20,45,8,0.0094955
20,46,6,0.0044631
20,47,8,0.000645
20,48,5,0.0008648
20,49,7,0.0015514
20,50,7,0.0027445
20,51,6,0.0013405
20,52,5,0.0004929
20,53,4,0.000531
20,54,7,0.0017834
20,55,7,0.0006153
20,56,6,0.0035818
20,57,3,0.0014932
20,58,4,0.0019283
20,59,3,0.0005126
20,60,5,0.0007255
20,61,4,0.0007646
20,62,5,0.0011463
20,63,2,0.0011219
20,64,6,0.0023617
20,65,7,0.0015571
20,66,3,0.0015339
20,67,6,0.0006284
20,68,4,0.0006059
20,69,4,0.0005455
20,70,3,0.0007856
20,71,1,0.0005976
20,72,2,0.001128
20,73,3,0.0004574
20,74,4,0.000921
20,75,5,0.0008759
20,76,3,0.0016268
20,77,4,0.0014367
20,78,6,0.0004908
20,79,2,0.0013706
20,80,2,0.0013503
20,81,1,0.0003545
20,82,2,0.0004792
20,83,2,9.39e-05
20,84,4,0.0008109
20,85,1,0.0001695
20,86,2,0.000546
20,87,2,0.0003499
20,88,4,0.0003671
20,89,1,0.0003819
20,90,3,0.0002738
20,91,2,0.001293
20,92,3,0.0006794
20,93,2,0.0006504
20,94,2,0.0005307
20,95,0,0.0005947
20,96,3,0.0002353
20,97,0,0.000428
20,98,0,0.0005051
20,99,0,0.0002843
20,5,18,0.0092412
20,6,16,0.0044007
20,7,17,0.0234901
20,8,17,0.021635
20,9,14,0.0159714
20,10,15,0.032318
20,11,14,0.0540846
20,12,17,0.0089713
20,13,17,0.0042582
20,14,16,0.0099171
20,15,16,0.0246427
20,16,14,0.0353726
20,17,15,0.0348994
20,18,13,0.0484203
20,19,13,0.0351366
20,20,14,0.025434
20,21,12,0.0319997
20,22,14,0.025628
20,23,14,0.010772
