Informantes,Respuestas,Agentes_Confiables,Tiempo_s
20,0,20,0.179757
20,1,20,0.234909
20,2,20,0.272854
20,3,20,0.318181
20,4,18,0.138205
20,5,18,0.365093
20,6,18,0.316139
20,7,17,0.31411
20,8,18,0.208238
20,9,16,0.233338
20,10,15,0.119157
20,11,16,0.333717
20,12,16,0.0921738
20,13,15,0.0832198
20,14,16,0.127491
20,15,17,0.375085
20,16,14,0.0839622
20,17,14,0.0614502
20,18,14,0.0636821
20,19,14,0.0562571
20,20,15,0.0834403
20,21,12,0.0388085
20,22,14,0.0652738
20,23,13,0.0327212
20,24,13,0.0210377
20,25,10,0.0232667
20,26,11,0.0307936
20,27,14,0.0362041
20,28,8,0.0079619
20,29,9,0.0019612
20,30,10,0.0090142
20,31,9,0.0042896
20,32,12,0.0065668
20,33,12,0.0210657
20,34,10,0.0071212
20,35,9,0.0036686
20,36,12,0.0102758
20,37,7,0.0032057
20,38,7,0.0032437
20,39,5,0.0012119
20,40,7,0.0061022
20,41,4,0.0039678
20,42,6,0.001354
20,43,7,0.0037957
20,44,6,0.0033698
20,45,10,0.0125563
20,46,9,0.0056044
20,47,8,0.0033567
20,48,5,0.0006257
20,49,9,0.0031973
20,50,5,0.0033796
20,51,6,0.002032
20,52,7,0.0011826
20,53,3,0.0010419
20,54,9,0.0035503
20,55,7,0.002533
20,56,3,0.0002182
20,57,7,0.0018663
20,58,5,0.0014948
20,59,6,0.0017757
20,60,6,0.0026366
20,61,2,0.0012258
20,62,3,0.0016819
20,63,3,0.0015013
20,64,6,0.0010162
20,65,5,0.0022611
20,66,5,0.0006125
20,67,1,0.000414
20,68,4,0.0008427
20,69,3,0.0005826
20,70,3,0.0012211
20,71,6,0.0022146
20,72,2,0.0004629
20,73,3,0.0004652
20,74,1,0.0003465
20,75,1,0.0005195
20,76,2,0.0003192
20,77,4,0.0004807
20,78,4,0.0004642
20,79,3,0.0004717
20,80,1,0.000803
20,81,1,0.0011997
20,82,5,0.0010949
20,83,5,0.0004098
20,84,2,0.000172
20,85,1,0.0004163
20,86,1,0.0011937
20,87,3,0.0002102
20,88,2,0.0005692
20,89,1,0.0004124
20,90,2,0.000536
20,91,2,0.0005602
20,92,0,0.0001964
20,93,2,0.0004062
20,94,2,0.0004154
20,95,1,0.000435
20,96,1,0.0005076
20,97,0,0.0005719
20,98,2,0.0003254
20,99,0,0.0003557
20,0,20,0.178145
20,1,19,0.272917
20,2,19,0.310045
20,3,18,0.339957
20,4,18,0.292104
20,5,17,0.312927
20,6,16,0.250068
20,7,17,0.278124
20,8,17,0.363153
20,9,16,0.120217
20,10,16,0.132617
20,11,16,0.228002
20,12,15,0.307612
20,13,15,0.0953724
20,14,15,0.101213
20,15,11,0.0156321
20,16,16,0.0961656
20,17,14,0.122637
20,18,14,0.0402647
20,19,11,0.0287606
20,20,12,0.0372323
20,21,14,0.0891365
20,22,14,0.0564402
20,23,12,0.0293262
20,24,12,0.0273283
20,25,14,0.0113334
20,26,13,0.0315642
20,27,11,0.0171592
20,28,11,0.0209438
20,29,10,0.008935
20,30,11,0.0097317
20,31,9,0.0044076
20,32,11,0.0123886
20,33,8,0.0035726
20,34,7,0.0040432
20,35,9,0.0108257
20,36,12,0.0079936
20,37,11,0.0173792
20,38,10,0.0118466
20,39,12,0.004019
20,40,7,0.0012272
20,41,9,0.0033812
20,42,10,0.0082435
20,43,5,0.003066
20,44,7,0.0039894
20,45,7,0.0073132
20,46,10,0.0043825
20,47,9,0.0072708
20,48,11,0.0153177
20,49,8,0.0052682
20,50,6,0.000529
20,51,3,0.004701
20,52,5,0.0022515
20,53,4,0.0023477
20,54,2,0.0002945
20,55,8,0.0063414
20,56,4,0.0009836
20,57,3,0.0007242
20,58,4,0.0009669
20,59,4,0.0016085
20,60,1,0.0006342
20,61,7,0.002479
20,62,4,0.0015118
20,63,6,0.0025471
20,64,2,0.0004667
20,65,6,0.0009085
20,66,4,0.0003709
20,67,2,0.0001486
20,68,6,0.0019004
20,69,2,0.0001429
20,70,1,0.0002732
20,71,3,0.0022973
20,72,2,0.0006787
20,73,2,0.0014157
20,74,3,0.0014805
20,75,0,0.0003213
20,76,6,0.0010767
20,77,2,0.0002859
20,78,1,0.0001338
20,79,3,0.0008525
20,80,1,0.0005396
20,81,3,0.0016496
20,82,3,0.0006092
20,83,2,0.0008821
20,84,5,0.0006752
20,85,2,0.0007186
20,86,2,0.000698
20,87,3,0.0004956
20,88,3,0.0004757
20,89,1,0.0019599
20,90,0,0.0002769
20,91,4,0.0009083
20,92,4,0.00039
20,93,4,0.0007605
20,94,1,0.0003723
20,95,0,0.0008589
20,96,3,0.0002882
20,97,4,0.0004991
20,98,1,0.0005304
20,99,2,0.000564
20,0,20,0.177446
20,1,19,0.286065
20,2,19,0.288408
20,3,19,0.428353
20,4,18,0.298783
20,5,17,0.326641
20,6,19,0.398754
20,7,17,0.265655
20,8,16,0.249958
20,9,16,0.119145
20,10,17,0.18666
20,11,15,0.0914178
20,12,15,0.188378
20,13,15,0.106014
20,14,14,0.074725
20,15,15,0.0449447
20,16,15,0.0674992
20,17,13,0.0486646
20,18,12,0.028429
20,19,15,0.0292254
20,20,16,0.0802991
20,21,13,0.0206216
20,22,12,0.0425375
20,23,12,0.0309363
20,24,11,0.0170125
20,25,13,0.0155957
20,26,11,0.0222872
20,27,11,0.0175195
20,28,11,0.0244613
20,29,11,0.0153224
20,30,10,0.0123215
20,31,13,0.0151094
20,32,13,0.0190722
20,33,9,0.0055385
20,34,10,0.0082538
20,35,10,0.0140122
20,36,6,0.0009978
20,37,9,0.0107917
20,38,11,0.0103437
20,39,11,0.0040972
20,40,7,0.0033567
20,41,8,0.0065883
20,42,9,0.0042317
20,43,7,0.0085169
20,44,8,0.0035038
20,45,7,0.0020095
20,46,6,0.0035576
20,47,8,0.0023176
20,48,7,0.0056545
20,49,5,0.0010433
20,50,8,0.009383
20,51,4,0.0006092
20,52,5,0.0017455
20,53,3,0.0010264
20,54,4,0.0006317
20,55,1,0.001813
20,56,5,0.0013273
20,57,6,0.0019797
20,58,6,0.0013863
20,59,5,0.0013329
20,60,2,0.0008872
20,61,4,0.0011044
20,62,6,0.0010127
20,63,6,0.0013027
20,64,3,0.0004269
20,65,6,0.0028788
20,66,5,0.0009583
20,67,5,0.000918
20,68,2,0.0011021
20,69,2,0.0011847
20,70,7,0.000616
20,71,2,0.0001443
20,72,2,0.0006219
20,73,0,0.0005906
20,74,4,0.0003204
20,75,1,0.0004681
20,76,4,0.0011441
20,77,3,0.0004462
20,78,4,0.0013223
20,79,3,0.0003888
20,80,0,0.0009966
20,81,1,0.000386
20,82,3,0.0004255
20,83,1,0.0004101
20,84,3,0.0003186
20,85,3,0.0001964
20,86,3,0.0009678
20,87,3,0.0005773
20,88,2,0.0003532
20,89,1,0.0003665
20,90,1,0.0003466
20,91,3,0.0002702
20,92,1,0.0006049
20,93,1,0.0004857
20,94,1,0.000115
20,95,1,0.0001004
20,96,2,0.0002716
20,97,3,0.0003119
20,98,2,0.0003601
20,99,1,0.0006277
20,0,20,0.178552
20,1,20,0.266033
20,2,20,0.396311
20,3,20,0.284327
20,4,19,0.28831
20,5,18,0.239591
20,6,17,0.287414
20,7,15,0.212566
20,8,16,0.243081
20,9,14,0.165122
20,10,16,0.0821729
20,11,17,0.180478
20,12,13,0.112632
20,13,14,0.124018
20,14,16,0.189952
20,15,15,0.120763
20,16,18,0.225065
20,17,14,0.0954896
20,18,14,0.0516091
20,19,13,0.0888855
20,20,16,0.0953369
20,21,12,0.0134507
20,22,14,0.0372942
20,23,9,0.0090267
20,24,14,0.0376087
20,25,11,0.0351144
20,26,11,0.015564
20,27,10,0.0134708
20,28,10,0.0064921
20,29,11,0.0062673
20,30,11,0.0476261
20,31,10,0.0142867
20,32,11,0.0101032
20,33,8,0.0100993
20,34,9,0.0091601
20,35,8,0.0060675
20,36,6,0.0085457
20,37,9,0.0046642
20,38,8,0.003289
20,39,9,0.004737
20,40,5,0.0010369
20,41,7,0.0009968
20,42,6,0.0037278
20,43,6,0.0024015
20,44,7,0.0033102
20,45,4,0.0028683
20,46,6,0.0015746
20,47,10,0.0080814
20,48,10,0.0058289
20,49,3,0.001852
20,50,7,0.0028914
20,51,8,0.0035421
20,52,8,0.003143
20,53,3,0.000819
20,54,4,0.0012897
20,55,4,0.0007952
20,56,6,0.0010714
20,57,6,0.001929
20,58,2,0.0004837
20,59,4,0.000683
20,60,4,0.001199
20,61,5,0.0010119
20,62,4,0.0004118
20,63,2,0.0007442
20,64,2,0.0006618
20,65,5,0.000707
20,66,6,0.0017653
20,67,4,0.0025166
20,68,4,0.0007417
20,69,3,0.0004858
20,70,4,0.0010133
20,71,3,0.0006274
20,72,3,0.0018987
20,73,2,0.002393
20,74,1,0.0005493
20,75,1,0.0003678
20,76,2,0.0005473
20,77,1,0.0003094
20,78,4,0.0009548
20,79,2,0.0001073
20,80,5,0.0005246
20,81,3,0.0004778
20,82,2,0.0006032
20,83,4,0.0003923
20,84,2,0.000617
20,85,3,0.0006477
20,86,2,0.0007635
20,87,3,0.0005973
20,88,2,0.0006932
20,89,3,0.0002839
20,90,1,0.0003982
20,91,3,0.0003024
20,92,0,0.0001951
20,93,1,0.0001601
20,94,2,0.0004197
20,95,2,0.0010685
20,96,2,0.0001177
20,97,0,0.0004906
20,98,2,0.0006625
20,99,0,0.0002485
20,0,20,0.178091
20,1,20,0.245656
20,2,19,0.397724
20,3,19,0.350384
20,4,18,0.336539
20,5,19,0.355511
20,6,17,0.38462
20,7,16,0.326389
20,8,15,0.131763
20,9,16,0.115745
20,10,16,0.220592
20,11,17,0.247152
20,12,16,0.175822
20,13,16,0.176908
20,14,15,0.0973742
20,15,15,0.0458449
20,16,17,0.0706401
20,17,15,0.077925
20,18,13,0.0454712
20,19,13,0.030984
20,20,13,0.0528237
20,21,12,0.0225472
20,22,13,0.0488202
20,23,12,0.0224942
20,24,11,0.0240979
20,25,13,0.0524109
20,26,9,0.0079188
20,27,14,0.0314194
20,28,10,0.0027688
20,29,11,0.0294338
20,30,8,0.0099237
20,31,10,0.0095999
20,32,10,0.0151705
20,33,11,0.0122496
20,34,10,0.0100816
20,35,8,0.0048118
20,36,10,0.0123036
20,37,10,0.007262
20,38,8,0.0060417
20,39,8,0.0057743
20,40,8,0.0118385
20,41,8,0.0025161
20,42,8,0.0069565
20,43,8,0.0078339
20,44,9,0.0048223
20,45,6,0.0111351
20,46,5,0.0026627
20,47,5,0.0036523
20,48,7,0.0024282
20,49,9,0.0039838
20,50,5,0.0079879
20,51,9,0.0035281
20,52,6,0.0026592
20,53,5,0.001746
20,54,5,0.0008744
20,55,5,0.0005791
20,56,5,0.0011997
20,57,5,0.0013935
20,58,6,0.001076
20,59,4,0.0004092
20,60,4,0.0006031
20,61,3,0.0006849
20,62,6,0.0010657
20,63,5,0.0008074
20,64,4,0.0008514
20,65,3,0.0008627
20,66,3,0.0013612
20,67,3,0.0003566
20,68,2,0.0019454
20,69,4,0.0008825
20,70,6,0.0011431
20,71,3,0.0003283
20,72,2,0.0004105
20,73,4,0.0012928
20,74,4,0.0008148
20,75,1,0.0002778
