Informantes,Respuestas,Agentes_Confiables,Tiempo_s
5,20,0,5.3e-06
6,20,0,3.9e-06
7,20,1,4.5e-06
8,20,3,2.54e-05
9,20,3,4.77e-05
10,20,2,9.96e-05
11,20,5,0.0001464
12,20,7,0.0002308
13,20,8,0.000239
14,20,10,0.0017108
15,20,7,0.0009662
16,20,9,0.0035213
17,20,11,0.0064467
18,20,11,0.0109406
19,20,13,0.0222229
20,20,11,0.01444
21,20,13,0.027402
22,20,15,0.236226
23,20,17,0.278462
24,20,16,1.05124
5,20,0,5.3e-06
6,20,1,5.4e-06
7,20,3,1.81e-05
8,20,5,3.24e-05
9,20,3,3.73e-05
10,20,3,8.19e-05
11,20,5,0.0002691
12,20,6,0.0002166
13,20,8,0.000813
14,20,9,0.0017407
15,20,7,0.0032548
16,20,10,0.004438
17,20,10,0.0055855
18,20,11,0.0309269
19,20,11,0.0250922
20,20,14,0.0330668
21,20,15,0.0854467
22,20,15,0.133297
23,20,16,0.322791
24,20,16,0.622494
5,20,1,3.2e-06
6,20,1,5.9e-06
7,20,0,2.08e-05
8,20,2,1.13e-05
9,20,4,9.35e-05
10,20,2,6.25e-05
11,20,3,8.77e-05
12,20,6,0.0003621
13,20,8,0.0007912
14,20,8,0.0006008
15,20,9,0.0022375
16,20,7,0.002356
17,20,12,0.0045272
18,20,12,0.0142986
19,20,11,0.0106523
20,20,11,0.0690549
21,20,16,0.134795
22,20,17,0.419502
23,20,17,0.322996
24,20,15,0.605814
5,20,0,5.4e-06
6,20,0,4.9e-06
7,20,3,1.51e-05
8,20,2,1.72e-05
9,20,3,5.32e-05
10,20,5,6.91e-05
11,20,4,0.0001393
12,20,6,0.0005279
13,20,7,0.0002264
14,20,9,0.0012821
15,20,10,0.0038777
16,20,10,0.0021249
17,20,10,0.0021148
18,20,11,0.0213313
19,20,12,0.0136826
20,20,13,0.0303296
21,20,14,0.0984861
22,20,14,0.0751138
23,20,15,0.280688
24,20,18,1.26313
5,20,0,8.2e-06
6,20,0,7.2e-06
7,20,1,1.86e-05
8,20,2,3.11e-05
9,20,3,7.2e-05
10,20,3,2.97e-05
11,20,4,9.36e-05
12,20,6,0.0001217
13,20,2,0.0001288
14,20,7,0.0011012
15,20,8,0.0018642
16,20,10,0.0045541
17,20,10,0.0100054
18,20,11,0.0175923
19,20,13,0.0266822
20,20,11,0.0166608
21,20,15,0.0797306
22,20,15,0.367607
23,20,16,0.46825
24,20,17,0.324955
5,20,0,4.6e-06
6,20,3,1.05e-05
7,20,1,9.7e-06
8,20,2,7e-06
9,20,3,2.12e-05
10,20,3,1.87e-05
11,20,5,0.0002399
12,20,5,0.0002499
13,20,7,0.0008854
14,20,9,0.0004872
15,20,6,0.0007442
16,20,8,0.006759
17,20,12,0.0037015
18,20,11,0.0083519
19,20,12,0.0298009
20,20,11,0.0157098
21,20,14,0.0977266
22,20,17,0.18696
23,20,15,0.446234
24,20,16,0.640111
5,20,0,2.8e-06
6,20,0,4.1e-06
7,20,1,1.25e-05
8,20,1,1.95e-05
9,20,2,6.21e-05
10,20,2,2.56e-05
11,20,6,0.0001001
12,20,6,0.0003301
13,20,7,0.00078
14,20,5,0.000228
15,20,8,0.0012614
16,20,10,0.0023119
17,20,11,0.0134464
18,20,11,0.0135453
19,20,14,0.0564109
20,20,12,0.0207638
21,20,15,0.154938
22,20,16,0.22978
23,20,19,0.810561
24,20,16,0.606974
5,20,0,1.5e-06
6,20,0,3.2e-06
7,20,3,1.9e-05
8,20,3,2.93e-05
9,20,5,0.0001093
10,20,4,0.0001069
11,20,4,6.44e-05
12,20,5,0.000198
13,20,6,0.0003536
14,20,8,0.001115
15,20,9,0.0008209
16,20,10,0.0044346
17,20,10,0.0035247
18,20,13,0.0131997
19,20,12,0.0074796
20,20,12,0.0244345
21,20,15,0.0580568
22,20,15,0.162047
23,20,18,0.245304
24,20,17,0.732335
5,20,1,3.7e-06
6,20,1,3.9e-06
7,20,1,1.87e-05
8,20,3,1.75e-05
9,20,2,3.19e-05
10,20,4,6.86e-05
11,20,5,0.0001089
12,20,8,0.0002186
13,20,6,0.000585
14,20,7,0.0008006
15,20,8,0.0016145
16,20,9,0.0051003
17,20,10,0.0148874
18,20,11,0.0069788
19,20,13,0.0312582
20,20,14,0.110087
21,20,13,0.0813747
22,20,16,0.172733
23,20,18,0.574612
24,20,15,0.65568
5,20,0,7.6e-06
6,20,0,8.1e-06
7,20,1,1.26e-05
8,20,2,1.74e-05
9,20,1,2.73e-05
10,20,4,6.38e-05
11,20,5,0.0001325
12,20,6,0.0003803
13,20,8,0.0007643
14,20,7,0.0003559
15,20,7,0.0012624
16,20,7,0.0036109
17,20,10,0.0021983
18,20,9,0.0067389
19,20,13,0.0155667
20,20,14,0.0669295
21,20,16,0.0788069
22,20,17,0.164636
23,20,16,0.140799
24,20,17,0.656774
