Informantes,Respuestas,Agentes_Confiables,Tiempo_s
20,0,20,4.7e-06
20,1,20,6.3e-06
20,2,20,9.7e-06
20,3,20,1.4e-05
20,4,18,0.0001998
20,5,18,0.0037339
20,6,18,0.006132
20,7,17,0.014921
20,8,18,0.0015418
20,9,16,0.0394778
20,10,15,0.011604
20,11,16,0.0574763
20,12,16,0.0129753
20,13,15,0.0421775
20,14,16,0.0175309
20,15,17,0.0241297
20,16,14,0.0282163
20,17,14,0.0321627
20,18,14,0.0352726
20,19,14,0.0172703
20,20,15,0.03556
20,21,12,0.0221068
20,22,14,0.0536367
20,23,13,0.0233081
20,24,13,0.0060722
20,25,10,0.0183552
20,26,11,0.0260767
20,27,14,0.0194726
20,28,8,0.0102311
20,29,9,0.0009739
20,30,10,0.007425
20,31,9,0.0033085
20,32,12,0.00264
20,33,12,0.0101641
20,34,10,0.0088777
20,35,9,0.0036453
20,36,12,0.0084711
20,37,7,0.0044408
20,38,7,0.0035842
20,39,5,0.0008602
20,40,7,0.0094627
20,41,4,0.003023
20,42,6,0.0011678
20,43,7,0.0038222
20,44,6,0.0042637
20,45,10,0.0084706
20,46,9,0.0085698
20,47,8,0.0025767
20,48,5,0.0005448
20,49,9,0.0071339
20,50,5,0.0047725
20,51,6,0.0018801
20,52,7,0.0014883
20,53,3,0.0011168
20,54,9,0.0043767
20,55,7,0.0022946
20,56,3,0.000197
20,57,7,0.0019722
20,58,5,0.0021829
20,59,6,0.0021504
20,60,6,0.0028068
20,61,2,0.0009161
20,62,3,0.0021812
20,63,3,0.003696
20,64,6,0.0012673
20,65,5,0.0035902
20,66,5,0.0006799
20,67,1,0.0005228
20,68,4,0.0030971
20,69,3,0.0006434
20,70,3,0.0014646
20,71,6,0.0050454
20,72,2,0.0006357
20,73,3,0.0005951
20,74,1,0.0004304
20,75,1,0.0006866
20,76,2,0.0002583
20,77,4,0.0003769
20,78,4,0.0004167
20,79,3,0.000453
20,80,1,0.0015349
20,81,1,0.0017127
20,82,5,0.0011046
20,83,5,0.0004354
20,84,2,0.0002575
20,85,1,0.0003758
20,86,1,0.0024468
20,87,3,0.0001701
20,88,2,0.0003706
20,89,1,0.0006983
20,90,2,0.0009772
20,91,2,0.0012978
20,92,0,0.0001775
20,93,2,0.0004697
20,94,2,0.0003882
20,95,1,0.000816
20,96,1,0.0003541
20,97,0,0.000442
20,98,2,0.0003783
20,99,0,0.0003648
20,0,20,4.3e-06
20,1,19,6.1e-06
20,2,19,9.9e-06
20,3,18,3.28e-05
20,4,18,0.0022683
20,5,17,0.0197982
20,6,16,0.0213958
20,7,17,0.0084872
20,8,17,0.0534902
20,9,16,0.0171552
20,10,16,0.0198971
20,11,16,0.0216108
20,12,15,0.136781
20,13,15,0.039678
20,14,15,0.0351421
20,15,11,0.0071955
20,16,16,0.0014636
20,17,14,0.0211948
20,18,14,0.0306301
20,19,11,0.0133508
20,20,12,0.0202597
20,21,14,0.0083057
20,22,14,0.0159522
20,23,12,0.0222464
20,24,12,0.0200851
20,25,14,0.0046861
20,26,13,0.0177408
20,27,11,0.0081013
20,28,11,0.0145094
20,29,10,0.0040864
20,30,11,0.0036589
20,31,9,0.0050406
20,32,11,0.0055057
20,33,8,0.0027755
20,34,7,0.004482
20,35,9,0.0116433
20,36,12,0.0070905
20,37,11,0.0192568
20,38,10,0.0143185
20,39,12,0.0018787
20,40,7,0.0024447
20,41,9,0.0024872
20,42,10,0.0076037
20,43,5,0.0033168
20,44,7,0.0041898
20,45,7,0.0062259
20,46,10,0.0058547
20,47,9,0.007187
20,48,11,0.0097354
20,49,8,0.0065574
20,50,6,0.0003527
20,51,3,0.0087361
20,52,5,0.0017002
20,53,4,0.002106
20,54,2,0.0003034
20,55,8,0.0092686
20,56,4,0.001553
20,57,3,0.0006899
20,58,4,0.0009871
20,59,4,0.0025148
20,60,1,0.001629
20,61,7,0.0020391
20,62,4,0.0027238
20,63,6,0.00283
20,64,2,0.0012145
20,65,6,0.0010388
20,66,4,0.000328
20,67,2,0.0001356
20,68,6,0.0021221
20,69,2,0.0001783
20,70,1,0.0003641
20,71,3,0.0039001
20,72,2,0.0006272
20,73,2,0.0018967
20,74,3,0.0013293
20,75,0,0.0014841
20,76,6,0.0008506
20,77,2,0.0002443
20,78,1,0.0001006
20,79,3,0.000983
20,80,1,0.0013532
20,81,3,0.0013308
20,82,3,0.0005875
20,83,2,0.0008317
20,84,5,0.0009806
20,85,2,0.0006909
20,86,2,0.0009457
20,87,3,0.0006911
20,88,3,0.0006641
20,89,1,0.0022352
20,90,0,0.0004286
20,91,4,0.0009588
20,92,4,0.0004087
20,93,4,0.0008631
20,94,1,0.0002778
20,95,0,0.0008498
20,96,3,0.000298
20,97,4,0.0004543
20,98,1,0.0004649
20,99,2,0.0006539
20,0,20,4.4e-06
20,1,19,5.6e-06
20,2,19,1.13e-05
20,3,19,1.17e-05
20,4,18,2.1e-05
20,5,17,0.0058329
20,6,19,2.45e-05
20,7,17,0.0258718
20,8,16,0.0184896
20,9,16,0.0039363
20,10,17,0.012156
20,11,15,0.01119
20,12,15,0.012413
20,13,15,0.0294003
20,14,14,0.0507205
20,15,15,0.0076515
20,16,15,0.023508
20,17,13,0.0226523
20,18,12,0.0373828
20,19,15,0.0111057
20,20,16,0.0213924
20,21,13,0.0102072
20,22,12,0.0154287
20,23,12,0.0225648
20,24,11,0.0150201
20,25,13,0.0038192
20,26,11,0.0118602
20,27,11,0.0129255
20,28,11,0.0162864
20,29,11,0.007303
20,30,10,0.012687
20,31,13,0.0177981
20,32,13,0.0156551
20,33,9,0.0040775
20,34,10,0.005355
20,35,10,0.0129194
20,36,6,0.0009798
20,37,9,0.0181787
20,38,11,0.006594
20,39,11,0.0045942
20,40,7,0.0027536
20,41,8,0.0054864
20,42,9,0.0027083
20,43,7,0.0054307
20,44,8,0.0028818
20,45,7,0.0011434
20,46,6,0.0047185
20,47,8,0.0016099
20,48,7,0.0055701
20,49,5,0.000888
20,50,8,0.0074142
20,51,4,0.0009754
20,52,5,0.0031084
20,53,3,0.0029912
20,54,4,0.0005846
20,55,1,0.0054075
20,56,5,0.0019079
20,57,6,0.0023732
20,58,6,0.0017718
20,59,5,0.0018486
20,60,2,0.0007533
20,61,4,0.0025008
20,62,6,0.0010927
20,63,6,0.001453
20,64,3,0.000362
20,65,6,0.0045498
20,66,5,0.0010712
20,67,5,0.0020332
20,68,2,0.0010126
20,69,2,0.0011028
20,70,7,0.0008936
20,71,2,0.000201
20,72,2,0.0009127
20,73,0,0.000433
20,74,4,0.000314
20,75,1,0.0005179
20,76,4,0.0016605
20,77,3,0.0004956
20,78,4,0.0023363
20,79,3,0.0004713
20,80,0,0.0008976
20,81,1,0.00032
20,82,3,0.0008363
20,83,1,0.0004358
20,84,3,0.0003456
20,85,3,0.0001732
20,86,3,0.0012362
20,87,3,0.0008399
20,88,2,0.0004533
20,89,1,0.0005777
20,90,1,0.0005038
20,91,3,0.0002603
20,92,1,0.0011786
20,93,1,0.0006955
20,94,1,8.98e-05
20,95,1,9.07e-05
20,96,2,0.0003716
20,97,3,0.0005387
20,98,2,0.0003362
20,99,1,0.0010335
20,0,20,4.6e-06
20,1,20,7.8e-06
20,2,20,1.07e-05
20,3,20,1.19e-05
20,4,19,1.33e-05
20,5,18,0.0039334
20,6,17,0.0008678
20,7,15,0.0402541
20,8,16,0.0132006
20,9,14,0.0614688
20,10,16,0.002896
20,11,17,0.0941814
20,12,13,0.0370764
20,13,14,0.0124433
20,14,16,0.0482998
20,15,15,0.0423086
20,16,18,0.0082647
20,17,14,0.0421077
20,18,14,0.0106143
20,19,13,0.102615
20,20,16,0.0395428
20,21,12,0.0013378
20,22,14,0.0149595
20,23,9,0.0074336
20,24,14,0.036872
20,25,11,0.0246249
20,26,11,0.0039112
20,27,10,0.0108332
20,28,10,0.0059466
20,29,11,0.0064433
20,30,11,0.0321141
20,31,10,0.0114756
20,32,11,0.0115954
20,33,8,0.0119115
20,34,9,0.0066164
20,35,8,0.0129714
20,36,6,0.0100673
20,37,9,0.0031487
20,38,8,0.0029399
20,39,9,0.0085737
20,40,5,0.0010756
20,41,7,0.0008169
20,42,6,0.0052224
20,43,6,0.0026828
20,44,7,0.0045595
20,45,4,0.003774
20,46,6,0.0017597
20,47,10,0.0095244
20,48,10,0.0052834
20,49,3,0.0014907
20,50,7,0.0025848
20,51,8,0.0059389
20,52,8,0.0026422
20,53,3,0.00191
20,54,4,0.0024583
20,55,4,0.0011422
20,56,6,0.0012838
20,57,6,0.0023274
20,58,2,0.000589
20,59,4,0.0008814
20,60,4,0.0013085
20,61,5,0.0013454
20,62,4,0.0008459
20,63,2,0.0018568
20,64,2,0.001031
20,65,5,0.0008129
20,66,6,0.0017871
20,67,4,0.0056853
20,68,4,0.0017568
20,69,3,0.0007767
20,70,4,0.0022569
20,71,3,0.0006333
20,72,3,0.0032249
20,73,2,0.0028479
20,74,1,0.0011419
20,75,1,0.0003601
20,76,2,0.0004958
20,77,1,0.0003535
20,78,4,0.0021354
20,79,2,9.34e-05
20,80,5,0.0007084
20,81,3,0.0007184
20,82,2,0.0008853
20,83,4,0.0003852
20,84,2,0.0009139
20,85,3,0.0006507
20,86,2,0.0015121
20,87,3,0.0004945
20,88,2,0.0008286
20,89,3,0.000253
20,90,1,0.0003667
20,91,3,0.000265
20,92,0,0.0004104
20,93,1,0.000194
20,94,2,0.0008411
20,95,2,0.0013694
20,96,2,0.0001397
20,97,0,0.0011281
20,98,2,0.0008903
20,99,0,0.0002139
20,0,20,5.1e-06
20,1,20,8.6e-06
20,2,19,1.46e-05
20,3,19,1.42e-05
20,4,18,0.0063745
20,5,19,1.68e-05
20,6,17,0.0324198
20,7,16,0.0122689
20,8,15,0.0033162
20,9,16,0.0278682
20,10,16,0.013874
20,11,17,0.0118879
20,12,16,0.0081979
20,13,16,0.0862024
20,14,15,0.0090407
20,15,15,0.0201921
20,16,17,0.0249953
20,17,15,0.0392811
20,18,13,0.0134112
20,19,13,0.0283777
20,20,13,0.0415892
20,21,12,0.0106363
20,22,13,0.012015
20,23,12,0.0086337
20,24,11,0.0178523
20,25,13,0.0264915
20,26,9,0.008805
20,27,14,0.015039
20,28,10,0.0020448
20,29,11,0.0254369
20,30,8,0.009141
20,31,10,0.0089193
20,32,10,0.0139665
20,33,11,0.0086777
20,34,10,0.0109046
20,35,8,0.0047131
20,36,10,0.0067659
20,37,10,0.0034586
20,38,8,0.0064495
20,39,8,0.0054441
20,40,8,0.014273
20,41,8,0.0023703
20,42,8,0.0053647
20,43,8,0.007106
20,44,9,0.0042698
20,45,6,0.0179737
20,46,5,0.0023475
20,47,5,0.0044112
20,48,7,0.0027646
20,49,9,0.0061924
20,50,5,0.006694
20,51,9,0.0046807
20,52,6,0.0025969
20,53,5,0.0063792
20,54,5,0.0008591
20,55,5,0.0007301
20,56,5,0.0011106
20,57,5,0.0013438
20,58,6,0.0011926
20,59,4,0.0015809
20,60,4,0.0015896
20,61,3,0.0007969
20,62,6,0.0010001
20,63,5,0.000933
20,64,4,0.0007705
20,65,3,0.000818
20,66,3,0.0019694
20,67,3,0.0010894
20,68,2,0.0017459
20,69,4,0.000916
20,70,6,0.0011071
20,71,3,0.0003522
20,72,2,0.0004407
20,73,4,0.001279
20,74,4,0.0010153
20,75,1,0.0002873
20,76,5,0.0007566
20,77,2,0.0001923
20,78,2,0.0002876
20,79,4,0.0015097
20,80,5,0.0006757
20,81,2,0.0006731
20,82,2,0.0005073
20,83,0,0.0002698
