Informantes,Respuestas,Agentes_Confiables,Tiempo_s
5,20,0,3.8e-06
6,20,0,3.1e-06
7,20,1,4.1e-06
8,20,3,1.92e-05
9,20,3,4.94e-05
10,20,2,6.93e-05
11,20,5,0.0001108
12,20,7,0.0001583
13,20,8,0.0001398
14,20,10,0.000876
15,20,7,0.0006028
16,20,9,0.0021605
17,20,11,0.0030929
18,20,11,0.0035353
19,20,13,0.0252041
20,20,11,0.0077211
21,20,13,0.0127505
22,20,15,0.115691
23,20,17,0.146609
24,20,16,0.944517
5,20,0,4.7e-06
6,20,1,4.4e-06
7,20,3,1.08e-05
8,20,5,2.15e-05
9,20,3,3.43e-05
10,20,3,6.38e-05
11,20,5,0.0002074
12,20,6,0.0001753
13,20,8,0.0003198
14,20,9,0.0021088
15,20,7,0.003358
16,20,10,0.0025784
17,20,10,0.0032777
18,20,11,0.00838
19,20,11,0.0102857
20,20,14,0.0078292
21,20,15,0.0050961
22,20,15,0.113414
23,20,16,0.0681574
24,20,16,0.417173
5,20,1,3.1e-06
6,20,1,7.7e-06
7,20,0,2e-05
8,20,2,7.3e-06
9,20,4,0.0001162
10,20,2,5.31e-05
11,20,3,8.8e-05
12,20,6,0.0002585
13,20,8,0.0005003
14,20,8,0.0003955
15,20,9,0.0009027
16,20,7,0.0010051
17,20,12,0.002454
18,20,12,0.0064096
19,20,11,0.0105297
20,20,11,0.084033
21,20,16,0.0757257
22,20,17,0.147234
23,20,17,0.0410006
24,20,15,0.285096
5,20,0,4.6e-06
6,20,0,4.2e-06
7,20,3,1.13e-05
8,20,2,1.65e-05
9,20,3,5.28e-05
10,20,5,4.31e-05
11,20,4,0.0001544
12,20,6,0.0003724
13,20,7,0.000121
14,20,9,0.0014443
15,20,10,0.0040608
16,20,10,0.0016789
17,20,10,0.0003858
18,20,11,0.0158214
19,20,12,0.005232
20,20,13,0.0084684
21,20,14,0.016012
22,20,14,0.0141238
23,20,15,0.243208
24,20,18,0.604602
5,20,0,7.8e-06
6,20,0,5.3e-06
7,20,1,2.14e-05
8,20,2,3.86e-05
9,20,3,6.85e-05
10,20,3,4.14e-05
11,20,4,0.000141
12,20,6,0.0001095
13,20,2,0.0001365
14,20,7,0.0010474
15,20,8,0.0014938
16,20,10,0.0031383
17,20,10,0.0090973
18,20,11,0.0159605
19,20,13,0.0092187
20,20,11,0.0126565
21,20,15,0.0162702
22,20,15,0.0602684
23,20,16,0.265798
24,20,17,0.231289
5,20,0,4.4e-06
6,20,3,6.4e-06
7,20,1,8.2e-06
8,20,2,5.5e-06
9,20,3,1.58e-05
10,20,3,1.67e-05
11,20,5,0.0001717
12,20,5,0.0002746
13,20,7,0.0005655
14,20,9,0.0002604
15,20,6,0.0005994
16,20,8,0.0059159
17,20,12,0.0023353
18,20,11,0.0059153
19,20,12,0.0116452
20,20,11,0.0107192
21,20,14,0.0398562
22,20,17,0.0408791
23,20,15,0.450766
24,20,16,0.34591
5,20,0,2.9e-06
6,20,0,4.1e-06
7,20,1,1.51e-05
8,20,1,1.88e-05
9,20,2,6.98e-05
10,20,2,3.05e-05
11,20,6,7.67e-05
12,20,6,0.0003379
13,20,7,0.0009685
14,20,5,0.0001985
15,20,8,0.0013146
16,20,10,0.0007431
17,20,11,0.0159749
18,20,11,0.0101839
19,20,14,0.0323618
20,20,12,0.0102075
21,20,15,0.0843482
22,20,16,0.111699
23,20,19,0.169103
24,20,16,0.316547
5,20,0,1.1e-06
6,20,0,2.4e-06
7,20,3,1.45e-05
8,20,3,2.95e-05
9,20,5,6.08e-05
10,20,4,9.28e-05
11,20,4,4.58e-05
12,20,5,0.0002033
13,20,6,0.0003958
14,20,8,0.0006914
15,20,9,0.0001943
16,20,10,0.0026256
17,20,10,0.0014224
18,20,13,0.0080016
19,20,12,0.0039987
20,20,12,0.0094339
21,20,15,0.0947291
22,20,15,0.18545
23,20,18,0.0980318
24,20,17,0.557113
5,20,1,3.2e-06
6,20,1,3.1e-06
7,20,1,1.73e-05
8,20,3,8.3e-06
9,20,2,2.73e-05
10,20,4,4.91e-05
11,20,5,8.23e-05
12,20,8,0.0001491
13,20,6,0.0004933
14,20,7,0.0005215
15,20,8,0.0011376
16,20,9,0.0062926
17,20,10,0.0078817
18,20,11,0.0027509
19,20,13,0.0146333
20,20,14,0.0304991
21,20,13,0.0840185
22,20,16,0.0769366
23,20,18,0.136911
24,20,15,0.427818
5,20,0,5.9e-06
6,20,0,7.4e-06
7,20,1,2.16e-05
8,20,2,1.11e-05
9,20,1,2.13e-05
10,20,4,6.77e-05
11,20,5,0.0001086
12,20,6,0.0002528
13,20,8,0.0005562
14,20,7,0.0002178
15,20,7,0.0010276
16,20,7,0.0039276
17,20,10,0.0007044
18,20,9,0.0035365
19,20,13,0.0035813
20,20,14,0.0115267
21,20,16,0.0170598
22,20,17,0.0209071
23,20,16,0.0712543
24,20,17,0.127094
