Informantes,Respuestas,Agentes_Confiables,Tiempo_s
20,0,20,4.6e-06
20,1,20,6.3e-06
20,2,20,1.02e-05
20,3,20,1.5e-05
20,4,18,0.000168
20,5,18,0.0037262
20,6,18,0.0050164
20,7,17,0.0151554
20,8,18,0.0016512
20,9,16,0.0419256
20,10,15,0.0117782
20,11,16,0.0619289
20,12,16,0.0127534
20,13,15,0.038085
20,14,16,0.0179106
20,15,17,0.0254779
20,16,14,0.0284287
20,17,14,0.0352102
20,18,14,0.0374127
20,19,14,0.0167011
20,20,15,0.0389912
20,21,12,0.0205741
20,22,14,0.0515891
20,23,13,0.0268826
20,24,13,0.0062422
20,25,10,0.0174303
20,26,11,0.0144243
20,27,14,0.0171812
20,28,8,0.0074888
20,29,9,0.0010644
20,30,10,0.0085019
20,31,9,0.002159
20,32,12,0.0026025
20,33,12,0.010391
20,34,10,0.0053065
20,35,9,0.0036528
20,36,12,0.005165
20,37,7,0.0030735
20,38,7,0.0029092
20,39,5,0.0011551
20,40,7,0.0059112
20,41,4,0.0039716
20,42,6,0.001296
20,43,7,0.003775
20,44,6,0.0030808
20,45,10,0.0088573
20,46,9,0.0046605
20,47,8,0.0026411
20,48,5,0.0005712
20,49,9,0.0029327
20,50,5,0.0033169
20,51,6,0.002
20,52,7,0.0010783
20,53,3,0.0010432
20,54,9,0.0029187
20,55,7,0.0024107
20,56,3,0.0002078
20,57,7,0.0015671
20,58,5,0.0014684
20,59,6,0.0016219
20,60,6,0.0025091
20,61,2,0.0012534
20,62,3,0.0016814
20,63,3,0.001497
20,64,6,0.0009
20,65,5,0.0021364
20,66,5,0.0005802
20,67,1,0.000409
20,68,4,0.0008314
20,69,3,0.0005789
20,70,3,0.0012141
20,71,6,0.0021414
20,72,2,0.0004622
20,73,3,0.0004596
20,74,1,0.0003536
20,75,1,0.0005167
20,76,2,0.0003155
20,77,4,0.0004431
20,78,4,0.0004546
20,79,3,0.0004662
20,80,1,0.0008078
20,81,1,0.0012005
20,82,5,0.0010484
20,83,5,0.0003775
20,84,2,0.0001722
20,85,1,0.000416
20,86,1,0.001193
20,87,3,0.0002069
20,88,2,0.0005714
20,89,1,0.0004099
20,90,2,0.0005398
20,91,2,0.000562
20,92,0,0.0001974
20,93,2,0.0004016
20,94,2,0.0004155
20,95,1,0.0004448
20,96,1,0.0005209
20,97,0,0.0005717
20,98,2,0.000327
20,99,0,0.0003906
20,0,20,4.4e-06
20,1,19,5.9e-06
20,2,19,1.01e-05
20,3,18,3.81e-05
20,4,18,0.0023284
20,5,17,0.0203413
20,6,16,0.0219812
20,7,17,0.0087701
20,8,17,0.0642481
20,9,16,0.0175225
20,10,16,0.0200354
20,11,16,0.0227178
20,12,15,0.142195
20,13,15,0.0427172
20,14,15,0.0373474
20,15,11,0.0071293
20,16,16,0.0015759
20,17,14,0.0205331
20,18,14,0.0176406
20,19,11,0.0140055
20,20,12,0.0145866
20,21,14,0.0089287
20,22,14,0.0147551
20,23,12,0.0168609
20,24,12,0.0125566
20,25,14,0.0050669
20,26,13,0.0134993
20,27,11,0.0082542
20,28,11,0.0151172
20,29,10,0.0046882
20,30,11,0.0037805
20,31,9,0.0039011
20,32,11,0.005752
20,33,8,0.0025851
20,34,7,0.0037068
20,35,9,0.0092599
20,36,12,0.005542
20,37,11,0.0144524
20,38,10,0.0097181
20,39,12,0.0020182
20,40,7,0.0011531
20,41,9,0.0021808
20,42,10,0.0068396
20,43,5,0.0030046
20,44,7,0.003964
20,45,7,0.0069509
20,46,10,0.0025418
20,47,9,0.0061953
20,48,11,0.0116569
20,49,8,0.0049788
20,50,6,0.0003608
20,51,3,0.0047016
20,52,5,0.0022525
20,53,4,0.0023446
20,54,2,0.0002946
20,55,8,0.0058383
20,56,4,0.0009421
20,57,3,0.0007226
20,58,4,0.0009054
20,59,4,0.0015706
20,60,1,0.0006348
20,61,7,0.0022613
20,62,4,0.0014878
20,63,6,0.0025045
20,64,2,0.0004577
20,65,6,0.0008621
20,66,4,0.0003587
20,67,2,0.0001477
20,68,6,0.0017621
20,69,2,0.0001443
20,70,1,0.0002767
20,71,3,0.0022917
20,72,2,0.0006697
20,73,2,0.0014315
20,74,3,0.0014798
20,75,0,0.0003182
20,76,6,0.0010623
20,77,2,0.00028
20,78,1,0.0001336
20,79,3,0.0008491
20,80,1,0.0005404
20,81,3,0.0016295
20,82,3,0.0005981
20,83,2,0.0008795
20,84,5,0.0006429
20,85,2,0.0007234
20,86,2,0.0006703
20,87,3,0.0004879
20,88,3,0.0004388
20,89,1,0.0019428
20,90,0,0.0002686
20,91,4,0.0008959
20,92,4,0.000375
20,93,4,0.0007559
20,94,1,0.000373
20,95,0,0.0008693
20,96,3,0.0002811
20,97,4,0.0004661
20,98,1,0.0005696
20,99,2,0.0005571
20,0,20,4.3e-06
20,1,19,5.7e-06
20,2,19,1.13e-05
20,3,19,1.22e-05
20,4,18,2.11e-05
20,5,17,0.0060633
20,6,19,2.69e-05
20,7,17,0.0258618
20,8,16,0.0162435
20,9,16,0.0040619
20,10,17,0.002071
20,11,15,0.0116128
20,12,15,0.0133905
20,13,15,0.0306069
20,14,14,0.025244
20,15,15,0.0098324
20,16,15,0.0305458
20,17,13,0.0297516
20,18,12,0.0208872
20,19,15,0.0061505
20,20,16,0.0222932
20,21,13,0.0084014
20,22,12,0.0152395
20,23,12,0.016673
20,24,11,0.0129018
20,25,13,0.0032358
20,26,11,0.0121326
20,27,11,0.0117707
20,28,11,0.0154348
20,29,11,0.0074021
20,30,10,0.0090914
20,31,13,0.0121229
20,32,13,0.0150108
20,33,9,0.0034455
20,34,10,0.0064553
20,35,10,0.0108877
20,36,6,0.0008894
20,37,9,0.0103481
20,38,11,0.0060699
20,39,11,0.0032179
20,40,7,0.0028426
20,41,8,0.0049042
20,42,9,0.0023328
20,43,7,0.006368
20,44,8,0.0022818
20,45,7,0.0010972
20,46,6,0.0028975
20,47,8,0.0017121
20,48,7,0.0050803
20,49,5,0.0010235
20,50,8,0.0085832
20,51,4,0.0005815
20,52,5,0.0016169
20,53,3,0.0010258
20,54,4,0.0006036
20,55,1,0.0018247
20,56,5,0.0012837
20,57,6,0.0018576
20,58,6,0.0013506
20,59,5,0.0013137
20,60,2,0.000888
20,61,4,0.0010953
20,62,6,0.0007721
20,63,6,0.0012185
20,64,3,0.0004042
20,65,6,0.0028026
20,66,5,0.0008841
20,67,5,0.0008767
20,68,2,0.0010975
20,69,2,0.0011576
20,70,7,0.0005415
20,71,2,0.0001379
20,72,2,0.0006217
20,73,0,0.0005847
20,74,4,0.00031
20,75,1,0.0004684
20,76,4,0.001118
20,77,3,0.0004358
20,78,4,0.001309
20,79,3,0.0003749
20,80,0,0.0008662
20,81,1,0.0003802
20,82,3,0.0004185
20,83,1,0.0004155
20,84,3,0.0003176
20,85,3,0.0001844
20,86,3,0.0009789
20,87,3,0.0005726
20,88,2,0.0003485
20,89,1,0.000365
20,90,1,0.0003483
20,91,3,0.0002614
20,92,1,0.0006065
20,93,1,0.0004853
20,94,1,0.0001094
20,95,1,9.98e-05
20,96,2,0.0002687
20,97,3,0.0003111
20,98,2,0.0003549
20,99,1,0.0006276
20,0,20,4.4e-06
20,1,20,8.2e-06
20,2,20,1.1e-05
20,3,20,1.2e-05
20,4,19,1.33e-05
20,5,18,0.0040587
20,6,17,0.0009046
20,7,15,0.047463
20,8,16,0.014473
20,9,14,0.0627209
20,10,16,0.002962
20,11,17,0.0537272
20,12,13,0.0345384
20,13,14,0.0103005
20,14,16,0.0514025
20,15,15,0.043245
20,16,18,0.0090652
20,17,14,0.0444153
20,18,14,0.0108465
20,19,13,0.0810731
20,20,16,0.028975
20,21,12,0.0013677
20,22,14,0.0089813
20,23,9,0.0081225
20,24,14,0.019094
20,25,11,0.0251505
20,26,11,0.0041752
20,27,10,0.0071276
20,28,10,0.0049082
20,29,11,0.0045724
20,30,11,0.0327869
20,31,10,0.0119313
20,32,11,0.0060647
20,33,8,0.0096791
20,34,9,0.0066798
20,35,8,0.0057707
20,36,6,0.0082964
20,37,9,0.0035721
20,38,8,0.0027398
20,39,9,0.0032821
20,40,5,0.0009963
20,41,7,0.000857
20,42,6,0.003597
20,43,6,0.002347
20,44,7,0.0031058
20,45,4,0.0028766
20,46,6,0.0012959
20,47,10,0.0064671
20,48,10,0.0054632
20,49,3,0.001853
20,50,7,0.002766
20,51,8,0.0030617
20,52,8,0.0023193
20,53,3,0.0008144
20,54,4,0.0012269
20,55,4,0.0007436
20,56,6,0.0009669
20,57,6,0.0018348
20,58,2,0.0004857
20,59,4,0.0006426
20,60,4,0.0011705
20,61,5,0.0009501
20,62,4,0.0004006
20,63,2,0.0007376
20,64,2,0.000663
20,65,5,0.0006813
20,66,6,0.0015174
20,67,4,0.0025196
20,68,4,0.000722
20,69,3,0.000514
20,70,4,0.0010081
20,71,3,0.0006331
20,72,3,0.0018979
20,73,2,0.0023995
20,74,1,0.0005506
20,75,1,0.0003642
20,76,2,0.0005491
20,77,1,0.000311
20,78,4,0.0008843
20,79,2,0.0001052
20,80,5,0.0004965
20,81,3,0.0004633
20,82,2,0.0005908
20,83,4,0.000363
20,84,2,0.0005937
20,85,3,0.0006389
20,86,2,0.0007512
20,87,3,0.0004534
20,88,2,0.0006891
20,89,3,0.000262
20,90,1,0.0004008
20,91,3,0.000284
20,92,0,0.0001951
20,93,1,0.0001598
20,94,2,0.0004218
20,95,2,0.0010593
20,96,2,0.000117
20,97,0,0.0004897
20,98,2,0.0006638
20,99,0,0.0002462
20,0,20,4.4e-06
20,1,20,7.2e-06
20,2,19,1.24e-05
20,3,19,1.17e-05
20,4,18,0.0059079
20,5,19,1.7e-05
20,6,17,0.0332121
20,7,16,0.0124403
20,8,15,0.0033743
20,9,16,0.0350488
20,10,16,0.0172537
20,11,17,0.0121769
20,12,16,0.0086482
20,13,16,0.0697184
20,14,15,0.0078706
20,15,15,0.0123268
20,16,17,0.0227664
20,17,15,0.0316423
20,18,13,0.014042
20,19,13,0.0209099
20,20,13,0.0416032
20,21,12,0.0110965
20,22,13,0.0107872
20,23,12,0.0069631
20,24,11,0.0169517
20,25,13,0.0131369
20,26,9,0.0072892
20,27,14,0.0144898
20,28,10,0.0021927
20,29,11,0.0230574
20,30,8,0.0094616
20,31,10,0.0072783
20,32,10,0.0119161
20,33,11,0.0078821
20,34,10,0.0097303
20,35,8,0.0041459
20,36,10,0.005505
20,37,10,0.0026702
20,38,8,0.0052928
20,39,8,0.0049461
20,40,8,0.0115642
20,41,8,0.0022344
20,42,8,0.0057637
20,43,8,0.0063386
20,44,9,0.0041675
20,45,6,0.0111169
20,46,5,0.0024975
20,47,5,0.0037115
20,48,7,0.0022913
20,49,9,0.0035629
20,50,5,0.0078858
20,51,9,0.0026655
20,52,6,0.0027253
20,53,5,0.001721
20,54,5,0.0008716
20,55,5,0.0005159
20,56,5,0.0011811
20,57,5,0.0013335
20,58,6,0.0008535
20,59,4,0.0004086
20,60,4,0.000602
20,61,3,0.0006856
20,62,6,0.0009433
20,63,5,0.0007925
20,64,4,0.0008396
20,65,3,0.000864
20,66,3,0.0013573
20,67,3,0.0003591
20,68,2,0.0019455
20,69,4,0.0008546
20,70,6,0.0010917
20,71,3,0.0003226
20,72,2,0.0004053
20,73,4,0.0012808
20,74,4,0.0008096
20,75,1,0.0002776
