Informantes,Respuestas,Agentes_Confiables,Tiempo_s
5,20,0,4.7e-06
6,20,0,4.3e-06
7,20,0,6.2e-06
8,20,2,2.4e-05
9,20,3,4.51e-05
10,20,4,9.59e-05
11,20,4,4.18e-05
12,20,5,0.0001072
13,20,7,0.0005427
14,20,7,0.0004657
15,20,9,0.0003538
16,20,9,0.0023053
17,20,12,0.0014835
18,20,11,0.0058716
19,20,14,0.01379
5,20,0,1.1e-05
6,20,0,3.9e-06
7,20,2,1.84e-05
8,20,4,2.49e-05
9,20,3,3.33e-05
10,20,4,6.38e-05
11,20,6,7.74e-05
12,20,7,0.0001759
13,20,6,0.0003247
14,20,9,0.0012699
15,20,8,0.0008296
16,20,8,0.0025876
17,20,10,0.0015573
18,20,12,0.0144611
19,20,10,0.0046306
5,20,0,1.4e-06
6,20,1,6e-06
7,20,0,1.14e-05
8,20,4,2.11e-05
9,20,5,4.88e-05
10,20,4,6.03e-05
11,20,6,9.94e-05
12,20,5,4.49e-05
13,20,7,0.0003063
14,20,9,0.0003458
15,20,7,0.0009811
16,20,11,0.0025978
17,20,11,0.0024241
18,20,12,0.0043017
19,20,11,0.0051228
5,20,0,1.76e-05
6,20,2,9.7e-06
7,20,0,5.1e-06
8,20,3,1.55e-05
9,20,5,1.76e-05
10,20,4,4.51e-05
11,20,4,8.53e-05
12,20,5,0.0001427
13,20,6,0.000201
14,20,10,0.0005758
15,20,9,0.0011392
16,20,9,0.0004746
17,20,11,0.0016062
18,20,11,0.0085384
19,20,10,0.0083758
5,20,0,3.5e-06
6,20,1,1.45e-05
7,20,1,6.4e-06
8,20,2,2.41e-05
9,20,4,3.12e-05
10,20,0,8.3e-06
11,20,3,1.22e-05
12,20,2,0.0001182
13,20,7,4.39e-05
14,20,5,0.0007888
15,20,8,0.0015945
16,20,10,0.0045888
17,20,10,0.0021445
18,20,11,0.0197655
19,20,14,0.0191129
5,20,0,4.1e-06
6,20,1,4.9e-06
7,20,0,8.5e-06
8,20,4,1.86e-05
9,20,2,3.16e-05
10,20,3,6.51e-05
11,20,6,0.0001024
12,20,7,0.0001339
13,20,5,0.0004786
14,20,8,0.0005017
15,20,9,0.0005785
16,20,11,0.0012402
17,20,10,0.0019051
18,20,11,0.0126417
19,20,11,0.004119
5,20,0,3.6e-06
6,20,2,7.9e-06
7,20,2,1.25e-05
8,20,6,3.38e-05
9,20,1,2.06e-05
10,20,4,3.66e-05
11,20,4,0.0002261
12,20,7,0.0001698
13,20,6,0.0003503
14,20,6,0.0003397
15,20,9,0.0016977
16,20,10,0.001269
17,20,10,0.0059715
18,20,11,0.0112746
19,20,12,0.0023325
5,20,0,1.3e-06
6,20,1,3.2e-06
7,20,2,9.2e-06
8,20,2,1.15e-05
9,20,4,3.26e-05
10,20,3,3.57e-05
11,20,7,7.73e-05
12,20,6,0.0005136
13,20,5,0.0003554
14,20,8,0.0005542
15,20,7,0.0015689
16,20,10,0.0013347
17,20,9,0.0054128
18,20,10,0.001951
19,20,14,0.0027755
5,20,0,3.7e-06
6,20,1,1.79e-05
7,20,3,1.36e-05
8,20,3,1.93e-05
9,20,1,1.14e-05
10,20,6,0.000114
11,20,4,6.33e-05
12,20,6,0.0003478
13,20,5,0.0002819
14,20,6,0.000461
15,20,8,0.0002441
16,20,12,0.0009155
17,20,12,0.0015278
18,20,10,0.0084767
19,20,13,0.0013431
5,20,0,1.5e-06
6,20,2,6.2e-06
7,20,1,1.15e-05
8,20,3,1.15e-05
9,20,3,3.81e-05
10,20,5,8.14e-05
11,20,5,4.76e-05
12,20,5,0.0002235
13,20,8,0.0007009
14,20,10,0.0004301
15,20,10,0.0009725
16,20,12,0.0012603
17,20,11,0.0057783
18,20,10,0.0037592
19,20,12,0.0071684
